"Name","Id","CPU","Handles"
"SearchIndexer","11316",,"1046"
"aswidsagent","9716",,"1075"
"WinStore.App","15040","00:00:03.7968750","1136"
"firefox","13748","00:03:16.7968750","1196"
"svchost","100",,"1284"
"dwm","1380",,"1349"
"SearchUI","11448","00:01:03.6093750","1397"
"svchost","1124",,"1481"
"lsass","976",,"1591"
"Code","9728","00:01:19.7500000","2104"
"IntelTechnologyAccessService","4896",,"2149"
"AVGUI","13204","00:04:54.2812500","2283"
"explorer","7992","00:07:10.5625000","3283"
"chrome","8764","00:10:06.9531250","4573"
"AVGSvc","3780",,"5541"
"System","4",,"6306"
